rda_id,tm,ta,tx,tn,rh,wd,ws,rn,sh,si,sw,st_x,st_y
2109130,2020-10-10,7.3,9.4,6.3,98.4,67.5,1.0,0.0,,4.6,24.43,128.7374833,37.61906564
2328150,2020-10-10,12.1,16.9,6.0,75.1,180.0,1.5,0.0,,14.4,23.31,128.4491865,37.53729551
2329410,2020-10-10,11.6,14.9,8.3,78.9,67.5,1.2,0.0,,6.8,18.57,128.5943015,37.67005569
2352700,2020-10-10,8.8,11.7,7.0,94.6,225.0,0.3,0.0,,3.4,20.0,129.0052809,37.33551752
2508450,2020-10-10,9.1,15.0,2.4,84.2,112.5,0.9,0.0,,13.7,2.8,128.3802354,37.71752177
5348330,2020-10-10,16.3,23.9,10.7,85.9,,0.8,0.0,9.05,17.3,17.5,126.4560881,34.96849647
5798240,2020-10-10,16.6,24.3,9.8,72.5,22.5,1.6,0.0,10.25,19.4,28.05,126.6695858,35.77281371
5908340,2020-10-10,14.9,20.8,9.1,71.4,45.0,1.8,0.0,10.23333333,20.0,16.44,127.5284342,35.4385123
7418620,2020-10-10,14.7,22.0,7.4,65.6,90.0,0.9,0.0,8.966666667,15.4,,127.9444678,36.43992226
7668510,2020-10-10,17.5,20.7,14.9,64.5,67.5,4.7,0.0,5.85,11.5,,129.3959598,36.56831662
486831E011,2020-10-10,14.6,21.9,7.6,67.5,225.0,0.9,0.0,7.25,16.5,24.66,127.1033466,38.17157908
026002D003,2020-10-10,7.0,9.3,5.9,93.6,135.0,1.5,0.0,0.383333333,3.7,21.25,128.9651492,37.22308462
026136A003,2020-10-10,12.9,17.8,8.2,74.0,67.5,1.0,0.0,2.316666667,9.1,,128.5847706,37.25987997
032528A001,2020-10-10,15.6,23.2,8.7,72.0,45.0,0.5,0.0,9.166666667,17.9,21.46,127.0992425,36.49340529
036052B006,2020-10-10,12.9,20.8,5.6,80.8,90.0,0.5,0.0,9.15,15.1,14.27,128.5403919,36.80886753
036229B007,2020-10-10,12.6,18.8,6.2,78.2,135.0,0.9,0.0,9.083333333,15.4,50.0,128.8085187,36.89858315
036531B008,2020-10-10,13.9,18.8,9.4,77.9,180.0,1.0,0.0,6.083333333,12.7,12.19,129.1486441,36.65442309
036614B005,2020-10-10,13.7,21.4,7.2,70.8,67.5,1.0,0.0,8.916666667,17.0,50.0,128.7010081,36.66306073
037268B004,2020-10-10,15.3,22.9,9.1,73.8,157.5,0.3,0.0,9.133333333,17.5,11.36,128.0739054,36.28226644
037339B009,2020-10-10,15.2,21.9,10.1,75.8,225.0,0.5,0.0,8.45,17.1,50.0,128.7428048,36.34158871
038315B010,2020-10-10,17.7,23.6,11.6,67.0,45.0,0.7,0.0,8.766666667,14.6,13.57,128.648506,35.64786877
039102B003,2020-10-10,16.4,23.2,11.6,72.4,202.5,0.5,0.0,8.15,15.6,50.0,128.276778,36.32622603
040054B002,2020-10-10,16.7,22.7,12.9,72.4,270.0,1.0,0.0,7.4,18.1,50.0,128.1781519,35.87969056
041404B001,2020-10-10,18.4,23.8,13.1,63.8,202.5,1.0,0.0,6.433333333,14.4,,128.5619291,35.95484405
051394A001,2020-10-10,18.3,23.3,12.5,72.4,0.0,1.7,0.0,2.083333333,8.8,11.6,128.7077984,35.34259404
053359B008,2020-10-10,20.8,23.1,18.4,69.9,,0.0,0.0,,9.6,15.01,126.832344,33.534836
063057B009,2020-10-10,17.8,21.2,15.1,74.4,,0.0,0.0,,10.4,15.84,126.412302,33.447724
063531B006,2020-10-10,17.8,20.7,14.8,82.4,,0.0,0.0,,7.6,25.19,126.779805,33.502903
063531B010,2020-10-10,19.6,24.5,15.9,72.0,,0.0,0.0,,12.6,21.3,126.354976,33.261089
063550B007,2020-10-10,19.1,23.9,15.5,76.1,,0.0,0.0,,9.8,22.2,126.2484,33.35363
137180A001,2020-10-10,13.9,24.3,6.6,88.8,,0.0,0.0,,,15.31,127.0899665,37.46541095
200821A001,2020-10-10,13.2,21.2,5.1,75.8,135.0,0.6,0.0,,15.8,,127.7537716,37.93400004
209802A001,2020-10-10,11.6,20.1,5.1,80.0,90.0,0.6,0.0,5.933333333,11.7,26.16,127.6944895,38.11013014
210852A001,2020-10-10,14.8,18.7,11.7,76.7,315.0,1.8,0.0,4.2,11.1,4.31,128.844019,37.852421
215821A001,2020-10-10,14.2,18.4,10.4,81.4,292.5,1.3,0.0,3.85,10.6,17.63,128.6336087,38.07490831
217060A001,2020-10-10,15.4,19.4,12.4,72.8,135.0,0.9,0.0,4.016666667,11.7,16.48,128.5997099,38.16919465
220844A001,2020-10-10,12.8,21.2,5.5,78.4,135.0,0.7,0.0,7.333333333,15.7,14.47,127.9150318,37.29576924
225874A001,2020-10-10,13.1,21.5,5.7,77.9,45.0,0.6,0.0,6.533333333,15.2,19.87,127.9606639,37.5275073
230802A001,2020-10-10,13.5,19.0,7.8,75.1,67.5,0.8,0.0,3.9,10.4,22.85,128.4771645,37.1676363
232803A001,2020-10-10,11.6,19.7,5.0,77.4,112.5,1.0,0.0,6.15,12.7,16.7,128.3940232,37.37715701
233852A001,2020-10-10,13.0,18.4,9.5,76.5,315.0,0.8,0.0,0.85,6.4,8.19,128.6539509,37.42332516
233852A002,2020-10-10,11.2,13.9,8.3,84.6,112.5,0.9,0.0,0.6,4.9,,128.8763287,37.50471847
235802A001,2020-10-10,10.9,15.4,9.6,84.6,202.5,0.7,0.0,0.883333333,5.1,14.52,128.9748558,37.15619045
240813A001,2020-10-10,16.0,19.6,13.4,77.7,0.0,0.9,0.0,2.95,7.9,23.37,129.1188242,37.48520158
245825A002,2020-10-10,14.3,19.0,11.3,85.8,22.5,0.5,0.0,1.283333333,5.7,27.36,129.1062462,37.41026834
