rda_id,tm,ta,tx,tn,rh,wd,ws,rn,sh,si,sw,st_x,st_y
026002D003,2019-01-01,-10.2,-6.3,-12.8,42.4,270.0,4.1,0.0,7.266666667,9.8,,128.9651492,37.22308462
026002D003,2019-01-02,-9.9,-5.1,-13.2,33.1,270.0,3.6,0.0,9.033333333,12.3,,128.9651492,37.22308462
026002D003,2019-01-03,-6.5,-1.7,-11.1,18.0,270.0,2.9,0.0,9.1,12.2,,128.9651492,37.22308462
026002D003,2019-01-04,-4.5,0.3,-7.5,32.9,270.0,3.3,0.0,8.083333333,10.7,,128.9651492,37.22308462
026002D003,2019-01-05,-6.5,-2.5,-9.0,52.3,270.0,2.6,0.0,8.316666667,11.1,,128.9651492,37.22308462
026002D003,2019-01-06,-5.6,-0.2,-8.8,48.5,270.0,1.2,0.0,7.433333333,10.5,,128.9651492,37.22308462
026002D003,2019-01-07,-6.7,-3.6,-9.1,28.9,270.0,4.8,0.0,8.466666667,11.5,,128.9651492,37.22308462
026002D003,2019-01-08,-8.6,-4.9,-12.9,33.0,270.0,5.8,0.0,8.6,12.2,,128.9651492,37.22308462
026002D003,2019-01-09,-8.2,-2.6,-14.5,30.2,270.0,3.0,0.0,8.95,10.3,,128.9651492,37.22308462
026002D003,2019-01-10,-6.0,-3.0,-8.6,30.5,270.0,4.9,0.0,5.566666667,9.2,,128.9651492,37.22308462
026002D003,2019-01-11,-3.4,2.0,-7.8,49.0,225.0,1.3,0.0,9.016666667,11.5,,128.9651492,37.22308462
026002D003,2019-01-12,-2.1,0.4,-5.4,83.0,270.0,1.3,2.0,0.0,1.7,,128.9651492,37.22308462
026002D003,2019-01-13,-2.2,3.5,-5.4,63.0,270.0,1.5,2.5,9.066666667,14.4,,128.9651492,37.22308462
026002D003,2019-01-14,-2.1,2.5,-5.2,41.7,270.0,2.0,0.0,8.433333333,10.9,,128.9651492,37.22308462
026002D003,2019-01-15,-7.0,-3.8,-12.7,69.1,270.0,4.0,0.0,4.816666667,8.9,,128.9651492,37.22308462
026002D003,2019-01-16,-11.3,-7.3,-14.9,43.7,270.0,5.2,0.0,8.9,11.6,,128.9651492,37.22308462
026002D003,2019-01-17,-7.7,-3.9,-10.5,59.9,270.0,6.0,0.0,9.266666667,13.4,,128.9651492,37.22308462
026002D003,2019-01-18,-5.1,-0.6,-8.8,35.4,270.0,4.5,0.0,9.383333333,13.4,,128.9651492,37.22308462
026002D003,2019-01-19,-1.4,3.1,-4.8,23.2,270.0,2.2,0.0,7.95,12.5,,128.9651492,37.22308462
026002D003,2019-01-20,-5.7,-3.0,-10.8,51.5,270.0,4.8,0.0,8.933333333,13.3,,128.9651492,37.22308462
026002D003,2019-01-21,-8.5,-5.5,-12.5,57.4,270.0,7.5,0.0,7.983333333,11.5,,128.9651492,37.22308462
