rda_id,tm,ta,tx,tn,rh,wd,ws,rn,sh,si,sw,st_x,st_y
269811A001,2019-01-01,-9.2,-1.6,-16.2,64.0,225.0,0.7,0.0,,8.0,,127.25026,38.20324
269811A001,2019-01-02,-9.6,-0.4,-17.2,62.1,225.0,0.2,0.0,,10.0,,127.25026,38.20324
269811A001,2019-01-03,-9.2,1.6,-17.0,62.1,270.0,0.1,0.0,,9.9,,127.25026,38.20324
269811A001,2019-01-04,-5.2,3.8,-14.1,66.7,157.5,1.1,0.0,,6.8,,127.25026,38.20324
269811A001,2019-01-05,-5.9,0.4,-12.8,55.9,247.5,0.6,0.0,,9.9,,127.25026,38.20324
269811A001,2019-01-06,-7.9,2.0,-14.5,57.6,270.0,0.1,0.0,,9.1,,127.25026,38.20324
269811A001,2019-01-07,-6.7,2.0,-15.0,57.6,225.0,0.4,0.0,,8.7,,127.25026,38.20324
269811A001,2019-01-08,-6.7,0.3,-14.0,48.1,225.0,2.0,0.0,,10.1,,127.25026,38.20324
269811A001,2019-01-09,-10.3,-1.8,-17.1,56.2,270.0,0.1,0.0,,7.3,,127.25026,38.20324
269811A001,2019-01-10,-3.9,3.1,-10.3,59.8,180.0,0.4,0.0,,6.1,,127.25026,38.20324
269811A001,2019-01-11,-2.3,6.0,-8.6,71.3,270.0,0.3,0.0,,8.8,,127.25026,38.20324
269811A001,2019-01-12,-1.2,7.0,-8.1,64.9,247.5,0.2,0.0,,6.1,,127.25026,38.20324
269811A001,2019-01-13,-3.6,7.8,-10.9,65.0,247.5,0.2,0.0,,9.2,,127.25026,38.20324
269811A001,2019-01-14,-4.2,3.2,-10.7,80.3,292.5,0.1,0.0,,5.2,,127.25026,38.20324
269811A001,2019-01-15,-3.3,1.6,-10.6,65.3,225.0,2.4,0.0,,6.2,,127.25026,38.20324
269811A001,2019-01-16,-8.6,-2.5,-16.9,58.9,135.0,1.2,0.0,,9.0,,127.25026,38.20324
269811A001,2019-01-17,-2.4,3.5,-8.0,52.5,202.5,1.1,0.0,,10.5,,127.25026,38.20324
269811A001,2019-01-18,-5.1,5.2,-13.9,59.4,157.5,0.2,0.0,,10.6,,127.25026,38.20324
269811A001,2019-01-19,-3.6,2.7,-9.5,82.4,,0.0,0.0,,2.2,,127.25026,38.20324
269811A001,2019-01-20,-3.1,1.2,-9.8,50.7,225.0,2.5,0.0,,10.7,,127.25026,38.20324
269811A001,2019-01-21,-4.7,2.0,-13.4,67.2,112.5,2.0,0.0,,4.6,,127.25026,38.20324
269811A001,2019-01-22,-3.1,6.6,-13.0,71.0,135.0,1.4,0.0,,9.9,,127.25026,38.20324
269811A001,2019-01-23,-1.0,6.1,-8.1,58.0,225.0,1.8,0.0,,10.2,,127.25026,38.20324
269811A001,2019-01-24,-5.5,5.0,-13.3,50.4,270.0,0.1,0.0,,11.0,,127.25026,38.20324
269811A001,2019-01-25,-6.5,2.0,-14.1,48.4,225.0,1.4,0.0,,10.8,,127.25026,38.20324
269811A001,2019-01-26,-7.4,1.9,-15.9,51.4,247.5,0.4,0.0,,11.6,,127.25026,38.20324
269811A001,2019-01-27,-4.9,4.0,-15.6,64.0,135.0,1.8,0.0,,9.9,,127.25026,38.20324
269811A001,2019-01-28,-0.3,3.5,-9.5,46.8,202.5,3.6,0.0,,10.6,,127.25026,38.20324
269811A001,2019-01-29,-5.4,5.4,-14.4,51.7,202.5,0.2,0.0,,11.2,,127.25026,38.20324
