rda_id,tm,ta,tx,tn,rh,wd,ws,rn,sh,si,sw,st_x,st_y
486831E011,2021-01-01,-9.5,-0.6,-16.8,66.7,180.0,0.6,0.0,7.083333333,10.8,21.96,127.1033466,38.17157908
486831E011,2021-01-02,-10.0,-1.6,-16.7,58.9,202.5,0.8,0.0,7.65,11.8,19.55,127.1033466,38.17157908
486831E011,2021-01-03,-10.6,-2.3,-17.2,59.6,225.0,0.6,0.0,7.383333333,9.8,17.56,127.1033466,38.17157908
486831E011,2021-01-04,-8.0,-0.7,-16.3,57.2,180.0,0.4,0.0,5.866666667,8.9,16.68,127.1033466,38.17157908
486831E011,2021-01-05,-9.2,-4.1,-16.1,66.8,247.5,0.7,0.0,7.733333333,11.3,16.74,127.1033466,38.17157908
486831E011,2021-01-06,-11.8,-4.6,-19.3,64.5,180.0,0.6,0.0,7.816666667,12.1,16.35,127.1033466,38.17157908
486831E011,2021-01-07,-16.0,-9.5,-20.6,51.8,202.5,1.7,0.0,7.533333333,11.3,16.25,127.1033466,38.17157908
486831E011,2021-01-08,-18.5,-12.4,-25.0,52.9,202.5,1.1,0.0,7.7,12.3,15.98,127.1033466,38.17157908
486831E011,2021-01-09,-17.1,-8.2,-24.1,59.9,202.5,0.9,0.0,7.666666667,12.0,15.62,127.1033466,38.17157908
486831E011,2021-01-10,-13.7,-4.4,-21.2,64.7,135.0,0.4,0.0,5.95,10.0,15.43,127.1033466,38.17157908
486831E011,2021-01-11,-11.7,-4.6,-17.8,70.1,202.5,0.4,0.0,1.25,5.6,15.39,127.1033466,38.17157908
486831E011,2021-01-12,-9.4,-0.3,-16.6,82.2,180.0,0.6,0.0,2.166666667,5.8,15.39,127.1033466,38.17157908
486831E011,2021-01-13,-3.1,7.1,-12.2,81.7,180.0,0.9,0.0,3.716666667,7.3,15.49,127.1033466,38.17157908
486831E011,2021-01-14,-3.7,6.0,-11.5,65.4,247.5,0.4,0.0,5.866666667,9.0,15.7,127.1033466,38.17157908
486831E011,2021-01-15,2.5,9.0,-4.4,68.3,202.5,1.4,2.0,0.0,1.5,15.84,127.1033466,38.17157908
486831E011,2021-01-16,-5.8,-2.3,-12.4,62.4,225.0,1.1,0.0,7.483333333,11.6,16.18,127.1033466,38.17157908
486831E011,2021-01-17,-10.3,-3.0,-17.7,66.1,157.5,0.9,0.0,7.983333333,12.2,15.87,127.1033466,38.17157908
486831E011,2021-01-18,-6.4,0.5,-12.4,66.7,225.0,1.2,0.5,2.516666667,5.5,15.69,127.1033466,38.17157908
486831E011,2021-01-19,-11.4,-2.5,-18.6,60.3,180.0,0.4,0.0,8.033333333,12.9,15.61,127.1033466,38.17157908
486831E011,2021-01-20,-5.9,5.7,-14.5,60.7,180.0,0.5,0.0,7.783333333,11.7,15.5,127.1033466,38.17157908
486831E011,2021-01-21,1.8,7.4,-3.5,70.6,157.5,0.3,3.5,0.383333333,3.4,15.71,127.1033466,38.17157908
486831E011,2021-01-22,3.8,8.2,0.8,92.4,202.5,0.7,0.0,0.716666667,4.6,16.17,127.1033466,38.17157908
486831E011,2021-01-23,5.3,8.2,3.1,66.1,202.5,3.2,0.0,4.533333333,8.1,16.58,127.1033466,38.17157908
486831E011,2021-01-24,3.3,13.0,-2.9,75.5,202.5,0.6,0.0,7.683333333,12.6,16.92,127.1033466,38.17157908
486831E011,2021-01-25,2.7,16.2,-3.7,78.1,180.0,0.4,0.0,6.05,10.7,17.22,127.1033466,38.17157908
486831E011,2021-01-26,2.5,6.7,-2.9,83.3,180.0,0.6,0.0,0.0,2.7,17.51,127.1033466,38.17157908
486831E011,2021-01-27,-1.3,6.1,-7.1,64.3,202.5,0.5,0.0,7.216666667,12.6,17.77,127.1033466,38.17157908
486831E011,2021-01-28,-4.7,0.7,-11.1,62.5,225.0,1.8,0.5,3.0,6.7,18.02,127.1033466,38.17157908
486831E011,2021-01-29,-11.5,-6.0,-15.4,44.7,202.5,1.5,0.0,8.333333333,14.5,18.27,127.1033466,38.17157908
486831E011,2021-01-30,-6.4,3.2,-15.5,67.1,247.5,0.9,0.5,3.566666667,7.3,18.39,127.1033466,38.17157908
486831E011,2021-01-31,-2.2,8.7,-11.9,70.2,202.5,0.6,0.0,5.8,10.2,18.13,127.1033466,38.17157908
486831E011,2021-02-01,3.7,9.1,-3.5,82.9,180.0,1.5,2.0,3.6,7.6,17.93,127.1033466,38.17157908
486831E011,2021-02-02,-6.9,-3.5,-10.3,48.7,202.5,1.7,0.0,7.933333333,14.2,18.12,127.1033466,38.17157908
486831E011,2021-02-03,-6.9,-0.5,-15.4,74.5,180.0,1.6,0.0,5.7,11.7,17.98,127.1033466,38.17157908
486831E011,2021-02-04,-8.1,-1.6,-18.4,64.9,157.5,1.1,2.5,8.616666667,15.9,17.75,127.1033466,38.17157908
486831E011,2021-02-05,-1.3,4.8,-9.2,76.7,157.5,1.0,0.0,0.283333333,5.2,17.7,127.1033466,38.17157908
486831E011,2021-02-06,5.2,9.7,1.9,82.5,180.0,1.1,0.0,2.95,6.3,17.77,127.1033466,38.17157908
486831E011,2021-02-07,2.7,7.2,-4.3,66.8,225.0,1.0,0.0,6.366666667,12.0,18.04,127.1033466,38.17157908
486831E011,2021-02-08,-4.6,-0.1,-8.7,52.8,225.0,1.4,0.0,8.716666667,15.6,18.3,127.1033466,38.17157908
486831E011,2021-02-09,-4.7,3.5,-11.8,65.5,157.5,1.0,0.0,8.75,15.3,18.63,127.1033466,38.17157908
486831E011,2021-02-10,-0.2,6.5,-7.0,80.7,157.5,0.8,0.0,1.016666667,6.1,18.83,127.1033466,38.17157908
486831E011,2021-02-11,1.4,10.3,-3.6,82.8,180.0,0.4,0.0,5.366666667,9.8,18.93,127.1033466,38.17157908
486831E011,2021-02-12,1.4,12.6,-5.7,72.4,135.0,0.4,0.0,8.683333333,14.5,19.2,127.1033466,38.17157908
486831E011,2021-02-13,2.5,15.1,-5.4,68.0,157.5,0.5,0.0,8.683333333,14.1,19.51,127.1033466,38.17157908
486831E011,2021-02-14,5.3,13.3,-1.4,63.1,157.5,0.5,0.0,0.283333333,6.3,19.88,127.1033466,38.17157908
486831E011,2021-02-15,0.1,5.4,-6.5,65.8,225.0,1.9,1.5,3.966666667,7.8,20.32,127.1033466,38.17157908
486831E011,2021-02-16,-6.0,-1.3,-10.4,50.5,225.0,1.8,0.0,8.45,13.3,20.83,127.1033466,38.17157908
486831E011,2021-02-17,-9.2,-5.8,-11.5,39.4,225.0,2.4,0.0,8.8,15.5,21.45,127.1033466,38.17157908
486831E011,2021-02-18,-7.5,-1.2,-12.9,47.7,202.5,1.3,0.0,9.033333333,16.6,22.01,127.1033466,38.17157908
486831E011,2021-02-19,-2.3,6.9,-12.8,69.8,180.0,1.7,0.0,2.3,7.4,21.97,127.1033466,38.17157908
486831E011,2021-02-20,6.7,14.1,-2.3,63.6,180.0,1.7,0.0,8.316666667,15.5,21.81,127.1033466,38.17157908
486831E011,2021-02-21,7.2,17.8,-3.2,67.5,180.0,1.4,0.0,8.533333333,14.4,22.27,127.1033466,38.17157908
486831E011,2021-02-22,6.0,12.6,-0.4,60.7,225.0,1.4,0.0,5.25,10.8,22.93,127.1033466,38.17157908
486831E011,2021-02-23,-2.2,3.5,-7.8,43.7,202.5,0.9,0.0,9.133333333,16.7,23.73,127.1033466,38.17157908
486831E011,2021-02-24,-1.6,9.4,-9.9,52.1,180.0,0.6,0.0,9.1,17.8,24.63,127.1033466,38.17157908
486831E011,2021-02-25,-0.9,6.9,-5.9,56.9,157.5,0.3,0.0,0.0,5.7,25.65,127.1033466,38.17157908
486831E011,2021-02-26,2.4,13.3,-7.4,56.8,202.5,2.1,0.0,8.683333333,18.3,26.18,127.1033466,38.17157908
486831E011,2021-02-27,6.2,15.7,-2.8,58.8,202.5,2.0,0.0,9.35,18.0,26.52,127.1033466,38.17157908
486831E011,2021-02-28,4.6,11.1,-3.5,62.7,225.0,1.1,0.0,3.416666667,10.3,27.47,127.1033466,38.17157908
486831E011,2021-03-01,2.2,5.5,-1.9,91.5,247.5,3.0,41.0,0.0,1.2,32.39,127.1033466,38.17157908
486831E011,2021-03-02,-0.9,5.4,-4.9,84.9,247.5,1.1,12.0,5.783333333,14.2,31.31,127.1033466,38.17157908
486831E011,2021-03-03,-0.5,8.3,-7.7,74.6,180.0,0.7,0.5,9.416666667,18.6,30.66,127.1033466,38.17157908
486831E011,2021-03-04,3.0,11.2,-3.9,78.4,180.0,0.4,0.0,3.1,10.7,31.67,127.1033466,38.17157908
486831E011,2021-03-05,5.5,15.5,-2.4,78.1,247.5,0.5,0.0,9.633333333,18.7,31.24,127.1033466,38.17157908
486831E011,2021-03-06,2.6,4.8,0.0,73.2,180.0,3.1,0.0,1.516666667,10.2,30.25,127.1033466,38.17157908
486831E011,2021-03-07,3.7,11.1,-1.6,64.9,202.5,1.4,0.0,9.166666667,18.2,29.52,127.1033466,38.17157908
486831E011,2021-03-08,3.0,12.8,-4.1,66.9,180.0,0.8,0.0,9.666666667,20.4,29.03,127.1033466,38.17157908
486831E011,2021-03-09,3.6,12.6,-4.0,66.3,202.5,0.9,0.0,9.383333333,16.5,28.67,127.1033466,38.17157908
486831E011,2021-03-10,4.6,16.0,-3.4,71.5,180.0,0.5,0.0,9.783333333,18.6,28.39,127.1033466,38.17157908
486831E011,2021-03-11,6.7,17.1,-2.4,66.1,157.5,0.6,0.0,8.85,16.3,28.17,127.1033466,38.17157908
486831E011,2021-03-12,8.0,13.9,4.0,69.3,202.5,2.0,0.5,2.6,9.0,27.98,127.1033466,38.17157908
486831E011,2021-03-13,6.8,14.5,-0.2,71.0,202.5,1.0,0.0,7.483333333,14.8,27.8,127.1033466,38.17157908
486831E011,2021-03-14,6.1,14.8,-1.1,79.7,202.5,0.7,0.0,5.55,14.1,27.67,127.1033466,38.17157908
486831E011,2021-03-15,7.3,14.5,-0.7,75.4,180.0,1.4,1.0,1.85,11.0,27.56,127.1033466,38.17157908
486831E011,2021-03-16,7.4,12.5,0.2,56.4,202.5,1.6,0.5,10.15,20.6,27.47,127.1033466,38.17157908
486831E011,2021-03-17,6.0,18.1,-3.4,59.8,157.5,0.7,0.0,10.2,20.9,27.39,127.1033466,38.17157908
