지점코드,지점명,위도,경도,고도,설치주소,관측시작일
063531B006,제주시 덕천리,33.5029,126.7798,130.2,제주특별자치도 제주시 구좌읍 덕천리 154,2014-04-25
063550B007,서귀포 중문동,33.35363,126.2484,163.8,제주특별자치도 서귀포시 중문동 912,2014-04-25
053359B008,제주시 한동리,33.53483,126.83234,9,제주특별자치도 제주시 구좌읍 한동리 55-1,2007-01-01
063531B010,서귀포 감산리,33.26108,126.35497,125.4,서귀포시 안덕면 감산리 228-2,2014-04-25
063057B009,제주시 애월읍,33.44772,126.4123,199.1,제주특별자치도 제주시 애월읍 상귀리 940,2014-05-01
026002D003,태백시 매봉산,37.22308,128.96514,1153,강원도 태백시 매봉산길304,2015-12-16
032528A001,공주시 우성면,36.4934,127.09924,46,충청남도 공주시 우성면 내산목천길 52-15,2015-12-13
051394A001,창원시 대산면,35.34259,128.70779,5,경남 창원시 의창구 대산면 가술리 31-2,2009-05-01
026136A003,정선군 신동읍,37.25987,128.58477,261,강원도 정선군 신동읍 덕천리 산137,2015-10-19
036229B007,봉화군 외삼리,36.89858,128.80851,300,봉화군 봉성면 외삼리 92-1,2007-03-30
036052B006,영주시 용산리,36.80882,128.54033,189,영주시 안정면 용산리 657,2007-03-30
039102B003,구미시 옥성면,36.32622,128.27677,40,구미시 옥성면 옥관리 59-4,2007-03-30
036531B008,영양군 대천리,36.65442,129.14864,227,영양군 영양읍 대천리 579-3,2007-03-30
036614B005,안동시 북후면,36.66401,128.70103,134,안동시 북후면 도촌리 30-1,2007-03-30
037268B004,상주시 공성면,36.28226,128.0739,100,상주시 공성면 장동리 69,2007-03-20
040054B002,성주군 대천리,35.87969,128.17815,122,성주군 대가면 대천리 635,2007-03-22
037339B009,의성군 의성읍,36.34158,128.7428,142,의성군 의성읍 상리리 133-6,2007-03-20
038315B010,청도군 이서면,35.64786,128.6485,93,청도군 이서면 구라리 787,2007-03-29
041404B001,대구시 북구,35.95484,128.56192,61,대구시 북구 동호동 189,2007-03-30
245825A002,삼척시 미로면,37.41026,129.10624,26,강원도 삼척시 미로면 하거노리 435,2015-01-27
667822A002,하동군 화개면,35.16259,127.6493,,경상남도 하동군 화개면 부춘리 1002-12,2014-12-29
668812F002,남해군 이동면,34.81611,127.92559,46,경남 남해군 이동면 남해대로 2421,2013-08-20
4.87E+16,연천군 신서면,38.17157,127.10334,126,경기도 연천군 신서면 도신리 146-8,2014-12-15
570802A001,익산시 함열읍,36.04125,126.959,16,전북 익산시 익산대로 1366-20,2014-12-16
520821F001,나주시 금천면,35.02371,126.74747,13,전남 나주시 금천면 벽류길 121 나주배연구소,2014-12-23
537807B004,완도군 완도읍,34.37194,126.72821,0,전라남도 완도읍 청해진로 1251길 48-20,2014-12-18
409911A001,옹진군 백령면,37.95742,124.71063,11,인천광역시 옹진군 백령면 진촌리 2359-4,2014-12-18
233852A002,정선군 임계면,37.50471,128.87632,550,강원도 정선군 임계면 임계리 658-6,2014-10-07
769912A001,의성군 봉양면,36.32229,128.64646,90,경북 의성군 봉양면 경북대로 5225,2014-09-02
540814A001,순천시 주암면,35.05758,127.2825,20,전라남도 순천시 주암면 창촌리 50-1,2014-06-13
635821A001,창녕군 대지면,35.55139,128.47668,36,경상남도 창녕군 대지면 우포2로 1085,2014-06-10
520853A003,나주시 봉황면,34.95821,126.7484,29,나주시 봉황면 욱곡리 654-5,2013-12-25
520943A002,나주시 문평면,35.04004,126.60136,7.5,전라남도 나주시 문평면 산호리 1407-1,2013-12-25
520892A001,나주시 공산면,34.94379,126.60644,4.4,전라남도 나주시 공산면 남창리 462-9,2013-12-25
215821A001,양양군 손양면,38.0749,128.6336,40,강원도 양양군 손양면 동해대로 2558,2013-11-29
695923A001,제주시 한림읍,33.35354,126.24793,19,제주특별자치도 제주시 월림7길 90,2007-01-01
714902A001,청도군 화양읍,35.64969,128.73431,89,경상북도 청도군 청화3길 10,2005-05-11
780950A001,경주시 용강상리,35.86717,129.22527,110,경상북도 경주시 용강상리길 70 (용강동),2004-11-01
750852A006,영주시 평은면,36.76442,128.70167,220,경상북도 영주시 평은면 평은리 972-18,2008-08-01
689861A001,울산시 청량면,35.52411,129.26704,51,울산광역시 울주군 청량면 청량천변로 211,2009-03-02
750823A005,영주시 부석면,37.00268,128.65301,386,경상북도 영주시 부석면 임곡리 593,2008-08-01
750873A002,영주시 안풍리,36.85962,128.55838,206,경상북도 영주시 안정면 안풍로 98,2008-08-08
716823A001,군위군 효령면,36.18081,128.59212,115,경상북도 군위군 효령면 호우로 97(성리 111),2008-12-01
750804A003,영주시 풍기읍,36.8846,128.50629,273,경상북도 영주시 풍기읍 백리길151번길 21,2008-08-01
699946A001,서귀포 하례리,33.28899,126.61167,142,제주시 서귀포 남원읍 하례리 1591-14,2007-01-01
